rX: 68.51	rY: -30.17	rZ: 179.03	yX: 57.24	 yY:-21.42	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 57.24	 yY:-20.72	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -30.34	rZ: 179.95	yX: 57.24	 yY:-20.72	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.51	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.51	rY: -30.17	rZ: 179.03	yX: 56.42	 yY:-20.86	 yZ: 172.84	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.51	rY: -29.46	rZ: 179.03	yX: 57.94	 yY:-21.42	 yZ: 177.22	bX: 15.30	bY: -17.54	 bZ: 187.68
rX: 68.51	rY: -29.46	rZ: 179.03	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.51	rY: -29.46	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.51	rY: -29.46	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.46	 yY:-21.77	 yZ: 179.95	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.94	 yY:-21.42	 yZ: 177.22	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.63	 yY:-20.50	 yZ: 175.44	bX: 16.04	bY: -18.28	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.72	 yY:-20.28	 yZ: 173.69	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 67.80	rY: -30.17	rZ: 179.03	yX: 57.02	 yY:-20.39	 yZ: 174.56	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -29.62	rZ: 179.95	yX: 56.93	 yY:-20.61	 yZ: 176.32	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -29.62	rZ: 179.95	yX: 57.02	 yY:-20.39	 yZ: 174.56	bX: 16.79	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -29.62	rZ: 179.95	yX: 57.86	 yY:-21.65	 yZ: 179.03	bX: 16.04	bY: -17.54	 bZ: 187.68
rX: 68.88	rY: -29.62	rZ: 179.95	yX: 57.15	 yY:-20.94	 yZ: 179.03	bX: 16.04	bY: -17.54	 bZ: 187.68
